X1,X2,X3,X4,X5,X6,X7,X8
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
1,1,0.558776449,0.072605107,0.964411946,0.634460823,0.684883731,0.334678772
